px,pz,sz_top,sz_bot,left_handed_batter,is_strike
0.421448087,1.833603952,3.2699161355327857,1.691848833164464,0,1
0.263639866,1.705922858,3.2887309962679794,1.5542818045313247,0,1
-0.484346401,2.046461432,3.6155626857906857,1.9460151265955263,1,1
0.226917822,3.036753486,3.550174783200948,1.7268048621184597,0,1
0.691884341,2.664154056,3.694,1.513,0,1
0.346568038,2.596964644,3.1229032595194823,1.455867512960328,0,1
0.325451696,1.730694965,3.785,1.54,0,1
0.891603643,1.951411336,3.186842211971946,1.5087843471652818,0,1
-0.17908082,2.810063528,3.608270961138352,1.6430736752281696,1,1
0.818975239,2.917155954,3.4136617659929662,1.6982386599072932,0,1
0.399852727,1.486007467,3.875,1.65,0,1
1.140091764,2.745396397,3.4754170027400875,1.7487600983988756,0,1
-0.374042865,2.68126562,3.061908955858037,1.26099227370457,0,1
-0.909144467,1.499385015,3.583220207295529,1.811182822839008,1,1
0.697362055,1.756366861,4.145,1.74,0,1
0.38661638,2.53027274,3.3248939101833983,1.595252162359337,0,1
0.486696495,3.226556982,3.5647766332752404,1.6468663942304858,0,1
0.90445277,2.687188452,3.17221748084965,1.5083531506930505,0,1
0.135331758,1.62512779,3.499806390940304,1.5534748409794936,1,1
0.317709727,2.352873889,3.5808205286192205,1.8217790154212636,1,1
0.659684812,1.787479567,3.434261601720518,1.8055773931714647,0,1
-0.714253667,1.74083889,3.505193730305962,1.8049913150167605,1,1
1.026871146,2.579375703,3.335117002593421,1.66988145207549,0,1
-0.870429051,1.463942019,3.192906843025714,1.3853720939226584,0,1
0.923653466,2.150619172,3.3556491006657083,1.7015107953212905,0,1
-0.21852914,2.059048211,3.054163756608983,1.4077442676339658,0,1
0.570494412,2.250815122,3.865,1.601,1,1
-1.026415797,1.982527053,3.865,1.601,1,1
-0.170708587,1.599596018,3.865,1.601,1,1
0.337692725,3.00555358,3.95,1.681,1,1
-0.67858803,2.079725523,3.875,1.65,1,1
-0.009491841,1.939380099,4.145,1.74,0,1
0.99202656,2.557805728,3.694,1.513,0,1
0.152762923,2.84334307,3.865,1.601,1,1
0.571639532,2.289337059,4.015,1.7,0,1
-0.712804928,1.801227025,3.865,1.601,1,1
0.936059913,2.758555923,3.865,1.601,0,1
-0.351761286,2.689266189,3.746,1.535,1,1
-0.76837259,2.245917626,3.746,1.535,1,1
0.77260607,1.778477367,3.95,1.681,0,1
-0.48999584,2.385365357,3.786,1.565,1,1
-0.910583112,2.164187841,3.611979916752983,1.9354752059616975,1,1
-0.808533575,2.604084572,3.571596615497402,1.8705537546723257,1,1
0.722826551,2.001918758,3.872824198863153,1.9342631623412636,0,1
0.740657324,2.032779461,3.4528166107516824,1.6778039814548364,0,1
0.885353705,1.892180929,3.353690136141069,1.7260842300891035,0,1
-0.581747418,1.861825002,3.1120000655543834,1.600695711157833,1,1
0.98867274,1.922563288,3.0066386380922054,1.4734468356274633,0,1
0.139820664030603,2.9266256876955,3,1.42,1,1
-0.820649286159007,2.82433582373921,3,1.42,1,1
-0.557851028314505,1.88963388891217,3.47,1.65,1,1
0.281013100430511,1.61084814323224,3.64,1.8,0,1
-0.216054095227662,1.53757130325833,3.4,1.57,1,1
-0.0948153013571811,3.1223308364498,3.59,1.67,0,1
-0.571822897172822,2.9231108632605,3.5,1.63,1,1
0.494498226261885,2.68611252698364,3.58,1.62,0,1
0.442733006550108,2.84769968329022,3.18,1.47,1,1
-0.413276416504642,1.62229347508652,3,1.42,1,1
-0.102135955876538,2.55480323074688,3.28,1.51,0,1
-0.929590788763001,1.93349215134233,3.5,1.62,1,1
-0.121283053463861,2.31434224995013,3.36,1.6,0,1
1.10324620491019,1.67046589135919,3.64,1.8,0,1
0.920511677098051,1.69950672140375,3.62,1.69,0,1
1.44205586020836,1.69628548033539,3.62,1.69,0,1
0.485872316557291,2.96135202375156,3.59,1.67,0,1
-0.496200121446513,1.52011359611163,3.5,1.63,1,1
-0.0422176125413629,2.64485139158176,3.18,1.47,1,1
0.783722348431455,3.07798487834506,3.69,1.72,0,1
0.409044934218816,2.65523188317747,3.69,1.72,0,1
1.20609651338782,2.77770383626901,3.5,1.62,1,1
-0.437218729768678,1.85283249711657,3.09,1.34,0,1
1.06578950255862,2.19150201163197,3.09,1.34,0,1
-0.690196892047657,1.60947566887394,3,1.42,1,1
0.761044334299102,1.69802045554487,3.59,1.67,0,1
-0.574963152253372,2.29600109124127,3.64,1.8,0,1
-0.429525146518783,2.91170119395585,3.4,1.57,1,1
0.0635772855309466,1.4738323999361,3.18,1.47,1,1
0.517966117154907,1.89282857771241,3.99,1.86,0,1
-0.167889905385947,1.68748195543112,3.58,1.67,1,1
-0.687733499766868,1.47890061060955,3.58,1.67,1,1
-0.689585236418966,1.77877769173432,3,1.42,1,1
0.659747134091892,1.95650251864444,3.36,1.6,0,1
1.00990718074441,2.89638898913787,3.69,1.72,0,1
-0.627051084428704,2.6064005352152,3.62,1.69,0,1
-0.210809082676342,1.86054065746119,3.49,1.65,1,1
-0.425811474683687,1.88807674213242,3.49,1.65,1,1
-1.11686176689763,2.22428062185561,3.47,1.65,1,1
0.864044940045206,2.0481619584645,3.64,1.8,0,1
-1.04792231639595,2.36207660990518,3.4,1.57,1,1
0.285528302881977,1.76099364965479,3.41,1.62,1,1
-0.121013624867636,2.53938391165622,3.5,1.62,1,1
-0.677706383266404,2.49291998598251,3.5,1.62,1,1
0.318067974376112,2.06356920243356,3.58,1.67,1,1
-0.554089976987892,1.62439292723715,3.47,1.65,1,1
-0.636482442340654,2.15335337323922,3.22,1.55,1,1
0.334411842719982,1.79924430851994,3.37,1.58,0,1
1.15864897592588,2.06664079359131,3.37,1.58,0,1
-0.500368384049981,1.62465315069124,3.29,1.53,1,1
0.793840927854181,3.03914275073691,3.62,1.7,0,1
-0.69037875859165,2.24145591668261,3.37,1.57,0,1
-0.179069638161475,1.6816214486659,3.52,1.67,1,1
-0.331334071507706,2.4354131663957,3.62,1.71,0,1
0.591587998015413,1.58132909282672,3.62,1.71,0,1
